teams,leagues
  Oakland Athletics,American
  Washington Nationals,National
  Seattle Mariners,American
  Minnesota Twins,American
  Detroit Tigers,American
  Cleveland Indians,American
  Baltimore Orioles,American
  San Diego Padres,National
  Philadelphia Phillies,National
  Atlanta Braves,National
  Chicago Cubs,National
  Cincinnati Reds,National
  Florida Marlins,National
  Los Angeles Dodgers,National
  New York Yankees,American
  St. Louis Cardinals,National
  Toronto Blue Jays,American
  LA Angels of Anaheim,American
  Colorado Rockies,National
  Milwaukee Brewers,National
  Chicago White Sox,American
  San Francisco Giants,National
  Pittsburgh Pirates,National
  Houston Astros,National
  Arizona D'Backs,National
  Boston Red Sox,American
  Kansas City Royals,American
  Tampa Bay Rays,American
  Texas Rangers,American
  New York Mets,National
